"id","epocs", "MiniBatch_Id","test_matches","test_cases", "lambda_Reg_", "Cost","Cost_Function_Name","Learning Rate","Total Samples"
21,30,100,66.00,100,1.5,4.87640640708625,"Cross Entropy",0.001,1000
22,30,100,70.00,100,1.5,3.22493620067849,"Cross Entropy",0.001,1000
23,30,100,68.00,100,1.5,3.69425621771084,"Cross Entropy",0.001,1000
24,30,100,71.00,100,1.5,6.55341612442849,"Cross Entropy",0.001,1000
25,30,100,69.00,100,1.5,4.49914641925337,"Cross Entropy",0.001,1000
26,30,100,69.00,100,1.5,4.36187012190534,"Cross Entropy",0.001,1000
27,30,100,69.00,100,1.5,4.92360881151156,"Cross Entropy",0.001,1000
28,30,100,70.00,100,1.5,3.23649379933278,"Cross Entropy",0.001,1000
29,30,100,70.00,100,1.5,4.98841648909807,"Cross Entropy",0.001,1000
"id","epocs", "MiniBatch_Id","test_matches","test_cases", "lambda_Reg_", "Cost","Cost_Function_Name","Learning Rate","Total Samples"
0,30,100,13.00,100,2.5,3.8784589329206,"Cross Entropy",0.001,1000
1,30,100,26.00,100,2.5,3.92675337873518,"Cross Entropy",0.001,1000
2,30,100,24.00,100,2.5,4.11355482195756,"Cross Entropy",0.001,1000
3,30,100,28.00,100,2.5,3.54997791483782,"Cross Entropy",0.001,1000
4,30,100,39.00,100,2.5,3.67139979363448,"Cross Entropy",0.001,1000
5,30,100,46.00,100,2.5,3.77383188013334,"Cross Entropy",0.001,1000
6,30,100,47.00,100,2.5,3.75958673371205,"Cross Entropy",0.001,1000
7,30,100,55.00,100,2.5,4.83397391684325,"Cross Entropy",0.001,1000
8,30,100,54.00,100,2.5,4.12765237372698,"Cross Entropy",0.001,1000
9,30,100,59.00,100,2.5,4.25609709886426,"Cross Entropy",0.001,1000
10,30,100,57.00,100,2.5,4.03512360666022,"Cross Entropy",0.001,1000
11,30,100,61.00,100,2.5,4.35128765538293,"Cross Entropy",0.001,1000
12,30,100,58.00,100,2.5,4.04705937898858,"Cross Entropy",0.001,1000
13,30,100,67.00,100,2.5,4.99868435461073,"Cross Entropy",0.001,1000
14,30,100,65.00,100,2.5,4.98277284654123,"Cross Entropy",0.001,1000
15,30,100,68.00,100,2.5,4.10635318827307,"Cross Entropy",0.001,1000
16,30,100,69.00,100,2.5,4.16814877602126,"Cross Entropy",0.001,1000
17,30,100,69.00,100,2.5,3.46023835744323,"Cross Entropy",0.001,1000
18,30,100,68.00,100,2.5,4.84886624498925,"Cross Entropy",0.001,1000
19,30,100,67.00,100,2.5,5.07341204860805,"Cross Entropy",0.001,1000
20,30,100,70.00,100,2.5,4.48901366226845,"Cross Entropy",0.001,1000
21,30,100,68.00,100,2.5,3.55527601448262,"Cross Entropy",0.001,1000
22,30,100,69.00,100,2.5,5.46709430231736,"Cross Entropy",0.001,1000
23,30,100,69.00,100,2.5,4.08921410233999,"Cross Entropy",0.001,1000
24,30,100,71.00,100,2.5,4.39507602570546,"Cross Entropy",0.001,1000
25,30,100,72.00,100,2.5,6.42223317519202,"Cross Entropy",0.001,1000
26,30,100,73.00,100,2.5,5.39822842585851,"Cross Entropy",0.001,1000
27,30,100,71.00,100,2.5,4.38621097326189,"Cross Entropy",0.001,1000
28,30,100,74.00,100,2.5,4.90402760945537,"Cross Entropy",0.001,1000
29,30,100,72.00,100,2.5,4.52726229037437,"Cross Entropy",0.001,1000
"id","epocs", "MiniBatch_Id","test_matches","test_cases", "lambda_Reg_", "Cost","Cost_Function_Name","Learning Rate","Total Samples"
0,30,100,41.00,100,2.5,3.32943409490141,"Cross Entropy",0.01,1000
1,30,100,43.00,100,2.5,3.05188195027477,"Cross Entropy",0.01,1000
2,30,100,58.00,100,2.5,3.78683869008454,"Cross Entropy",0.01,1000
3,30,100,63.00,100,2.5,4.06103713870314,"Cross Entropy",0.01,1000
4,30,100,65.00,100,2.5,5.0534911689484,"Cross Entropy",0.01,1000
5,30,100,66.00,100,2.5,3.55944698087216,"Cross Entropy",0.01,1000
6,30,100,71.00,100,2.5,4.19617160341205,"Cross Entropy",0.01,1000
7,30,100,66.00,100,2.5,5.53234705391082,"Cross Entropy",0.01,1000
8,30,100,66.00,100,2.5,3.77661930067347,"Cross Entropy",0.01,1000
9,30,100,66.00,100,2.5,5.63704653589815,"Cross Entropy",0.01,1000
10,30,100,72.00,100,2.5,3.024692186301,"Cross Entropy",0.01,1000
11,30,100,73.00,100,2.5,4.00065601107201,"Cross Entropy",0.01,1000
